organization_ein,nonprofit_name,irsclassification_nteecode,category,address,city,state,zipcode,website
821716159,Citizens Immigration and Refugee Action Committee,B01,Alliance/Advocacy Organizations,1024 SIGNAL HILL LN,LANCASTER,PA,17601-1535,https://www.facebook.com/CIRACLancaster/
820976101,Claras Closet Refugee Services Inc.,P84,"Ethnic, Immigrant Centers, Services",216 BEARD AVE,BUFFALO,NY,14214-1742,https://www.centralparkcomplex.com/claras-closet.html
271458930,Coalition for Refugees From Burma,B90,Educational Services and Schools - Other,1265 S MAIN ST STE 309,SEATTLE,WA,98144-2010,https://www.crbkc.org/
824477584,Coalition of Refugee Youth,P30,"Children's, Youth Services",15734 ROAN RD,CHINO HILLS,CA,91709-8726,
841788565,Colorado Asylum Center,R20,"Civil Rights, Advocacy for Specific Groups",1888 N SHERMAN ST STE 200,DENVER,CO,80203-1158,https://www.coasylum.org/
842729418,Colorado Refugees Venture,J01,Alliance/Advocacy Organizations,9031 E AMHERST DR APT E,DENVER,CO,80231-4043,
815449870,Comics for Youth Refugees Incorporated Collective,F99,"Mental Health, Crisis Intervention N.E.C.",5 PARK TERRACE UNIT A,ARLINGTON,MA,02474-1227,https://www.facebook.com/refugeecomics/
320153040,Community Access for New Immigrants and African Refugees,Q70,International Human Rights,3300 COUNTY ROAD 10 STE 518D,BROOKLYN CTR,MN,55429-3068,http://www.caniarusa.org/
813418323,Community Asylum Seekers Project Inc.,Q71,"International Migration, Refugee Issues",44 SCHOOL STREET EXT,BELLOWS FALLS,VT,05101-1478,https://caspvt.org/
832266657,Community Health Worker Coalition for Migrants and Refugees,E21,Community Health Systems,24315 89TH PL W,EDMONDS,WA,98026-9011,https://www.chwcoalition.org/
311674893,Community Refugee and Immigration Services Inc.,P84,"Ethnic, Immigrant Centers, Services",1925 E DUBLIN GRANVILLE,COLUMBUS,OH,43229-3517,https://www.crisohio.org/
841853479,Community Refugee Relief Initiative Inc.,A23,"Cultural, Ethnic Awareness",700 W LEA BLVD STE 209,WILMINGTON,DE,19802-2545,https://crrimissions.org/
112457451,Congregation Friends of Refugees of Eastern Europe C O Benjamin Isaacs,,,1383 PRESIDENT ST,BROOKLYN,NY,11213-4334,
61623555,Connecticut Immigrant and Refugee Coalition Inc.,P84,"Ethnic, Immigrant Centers, Services",40 WOODLAND ST STE 2,HARTFORD,CT,06105-2334,https://www.coalitionct.org/
60669118,Connecticut Institute for Refugees and Immigrants Inc.,,,670 CLINTON AVE,BRIDGEPORT,CT,06605-1704,https://cirict.org/
811902386,Danbury Area Refugee Assistance Inc.,P84,"Ethnic, Immigrant Centers, Services",PO BOX 1090,REDDING CTR,CT,06875-1090,https://www.daract.org/
464096561,Darfur Education & Refugee Help Center,P84,"Ethnic, Immigrant Centers, Services",9138 W 102 AVE,WESTMINISTER,CO,80021-0000,
842602323,Detained Refugee Solidarity Fund,P84,"Ethnic, Immigrant Centers, Services",1009 GLADE ST,COLLEGE STA,TX,77840-3031,https://www.facebook.com/pages/category/Nonprofit-Organization/Detained-Refugee-Solidarity-Fund-115963043172682/
814685664,Dfw Asylum Seeker Housing Network,Q71,"International Migration, Refugee Issues",PO BOX 470783,FORT WORTH,TX,76147-0783,https://dashnetwork.net/
820807480,Dfw Refugee Outreach Services,P84,"Ethnic, Immigrant Centers, Services",7923 BANYAN WAY,IRVING,TX,75063-1801,https://www.refugeeoutreachdfw.org/
472211876,Dignity in Asylum Inc.,L41,"Homeless, Temporary Shelter For",PO BOX 1244,CONCORD,MA,01742-1244,"https://www.dignityinasylum.org/#:~:text=Dignity%20in%20Asylum,minors%20at%20risk%20of%20homelessness."
742723627,DIOCESAN MIGRANT & REFUGEE SERVICES INC,,,499 SAINT MATTHEWS ST,EL PASO,TX,79907-4214,http://www.dmrs-ep.org/
951831116,Direct Relief,Q33,International Relief,6100 wallace becknell,Santa Barbara,CA,93117,https://www.directrelief.org/
815075816,Dream Refugee,S01,Alliance/Advocacy Organizations,65 LOWRY AVE NE,MINNEAPOLIS,MN,55418-3342,https://www.dreamrefugee.org/
473092234,Dubuque for Refugee Children,Q71,"International Migration, Refugee Issues",PO BOX 1741,DUBUQUE,IA,52004-1741,https://www.facebook.com/DforRC/
840827571,Ecumenical Refugee and Immigration Services,,,1600 Downing Street,Denver,CO,80218,https://www.facebook.com/maidp.du.gspp/posts/ecumenical-refugee-and-immigration-services-eris1600-downing-st-400-denver-co-80/431711083652029/
812773420,Educated Refugee Foundation Corporation,P12,Fund Raising and/or Fund Distribution,5215 RUBY AVE,FIRESTONE,CO,80504-5913,https://educatedrefugee.org/
821244469,Education Refuge,Q71,"International Migration, Refugee Issues",PO BOX 22187,LINCOLN,NE,68542-2187,https://www.educationrefuge.org/our-mission
842077603,Ethnic Community-Based Organization for Refugees and Immigrants,P84,"Ethnic, Immigrant Centers, Services",1331 S STATE ST STE 100,SALT LAKE CTY,UT,84115-5541,
591010116,Evangelical Pentecostal Church and Refugee Center Inc.,,,90 NW 27TH AVE,MIAMI,FL,33125-5112,
351900090,Exodus Refugee Immigration Inc.,P84,"Ethnic, Immigrant Centers, Services",2457 E WASHINGTON ST STE A,INDIANAPOLIS,IN,46201-4182,https://www.exodusrefugee.org/
812120011,Eyes on Refugees,Q71,"International Migration, Refugee Issues",PO BOX 378,CARLISLE,MA,01741-0378,https://twitter.com/eyesonrefugees1?lang=en
841878090,Floyd Friends of Asylum Seekers,P61,Travelers' Aid,485 OLD RIFTON SCHOOL RD NE,PILOT,VA,24138-1590,https://floydfriendsofasylumseekers.org/
452256540,For the Nations Refugee Outreach,Q33,International Relief,414 S PURDUE DR,GARLAND,TX,75042-6800,https://ftnro.org/
832337377,Forging Opportunities for Refugees in America Inc. Nfp,B90,Educational Services and Schools - Other,5822 S BLACKSTONE AVE APT 2,CHICAGO,IL,60637-5202,https://www.refugeefora.org/
820847814,Fort Wayne for Refugees Inc.,P84,"Ethnic, Immigrant Centers, Services",622 S CALHOUN ST,FORT WAYNE,IN,46802-1708,https://www.facebook.com/FWforRefugees/
770357297,Fresno Interdenominational Refugee Ministries,X20,Christian,1940 N FRESNO ST,FRESNO,CA,93703-2231,https://www.firminc.org/
204777590,Friends of Immigrants and Refugees of St. Louis,P80,Services to Promote the Independence of Specific Populations,120 S CENTRAL AVE STE 500,SAINT LOUIS,MO,63105-1733,http://firststl.org/about.cfm
271995329,Friends of Refugees,P84,"Ethnic, Immigrant Centers, Services",PO BOX 1512,BEAVERTON,OR,97075-1512,https://friendsofrefugees.com/
201989492,Friends of Refugees Inc.,K31,"Food Banks, Food Pantries",PO BOX 548,CLARKSTON,GA,30021-0548,https://friendsofrefugees.com/
362822431,Friends of Refugees of Eastern Europe,P84,"Ethnic, Immigrant Centers, Services",2935 W. Devon Avenue,Chicago,IL,60659,https://www.russianjewry.org/
383105588,Friends of Refugees of Eastern Europe Inc.,,,14141 LUDLOW PL,OAK PARK,MI,48237-1354,
471667780,Friends of Refugees Providing Education and Empowerment Inc.,P84,"Ethnic, Immigrant Centers, Services",2100 RIVERSIDE PARKWAY,LAWRENCEVILLE,GA,30043-5927,https://freerefugees.org/about
650202055,Genezaret Pentecostal Church and Refugee Center Inc.,X21,Protestant,3050 S DIXIE HWY APT 404,MIAMI,FL,33133-3544,
261733523,Georgia Asylum & Immigration Network Inc.,I83,"Public Interest Law, Litigation",PO BOX 78425,ATLANTA,GA,30357-2425,https://georgiaasylum.org/
841952931,Give Refugees A Chance,Q71,"International Migration, Refugee Issues",9846 N CENTRAL ST,PORTLAND,OR,97203-1504,https://giverefugeesachance.org/about/
271661997,GiveDirectly Inc.,P60,"Emergency Assistance (Food, Clothing, Cash)",P.O. Box 3221,New York,NY,10008,https://www.givedirectly.org/
813684730,Global Center for Refugee Education and Science,M20,Disaster Preparedness and Relief Services,47396 VICTORIA FALLS SQ,STERLING,VA,20165-2498,https://gcres.org/
463258261,Global Garden Refugee Training Farm,K11,Single Organization Support,103 CIRCLE DR W,MONTGOMERY,IL,60538-2706,https://www.globalgardenfarm.org/
821346310,Global Lawyers for Refugees,R20,"Civil Rights, Advocacy for Specific Groups",6257 RATHLIN DR,SPRINGFIELD,VA,22152-2169,https://www.glrworldwide.org/
833683991,Global Refugee Relief Fund,P20,Human Service Organizations - Multipurpose,321 SPINNAKER ST,FOSTER CITY,CA,94404-3411,https://sites.google.com/view/globalrefugeerelieffund
822215583,Global Refugee Services of Greater Houston,P20,Human Service Organizations - Multipurpose,6559 W BELLFORT ST,HOUSTON,TX,77035-2060,
832490783,Gospel for Refugees,X20,Christian,PO BOX 10775,OAKLAND,CA,94610-0775,
202559651,Grantmakers Concerned With Immigrants and Refugees,T02,Management & Technical Assistance,PO BOX 1100,SEBASTOPOL,CA,95473-1100,https://www.gcir.org/
352217554,Greater Refugee Ministries Incorporated Church of God in Chri,X21,Protestant,PO BOX 1755,CLINTON,MD,20735-5755,
822062611,Hampton Roads Refugee Relief Inc.,P84,"Ethnic, Immigrant Centers, Services",763 J CLYDE MORRIS BLVD STE 1-A,NEWPORT NEWS,VA,23601-1533,https://hr3va.org/
821762609,Hanan Refugees Relief Group,Q71,"International Migration, Refugee Issues",2202 TROTTERS RIDGE CT,GREENVILLE,NC,27858-9403,https://hananrrg.org/
813361872,Hearts and Homes for Refugees,P84,"Ethnic, Immigrant Centers, Services",PO BOX 8558,PELHAM,NY,10803-8558,https://www.heartsandhomesforrefugees.org/
953064521,Help for Refugees,,,PO BOX 5161,TORRANCE,CA,90510-5161,https://www.helpforrefugees.com/
